,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,DOGE-USD,ETH-USD,LTC-USD,DOGE-USD,ETH-USD,LTC-USD,DOGE-USD,ETH-USD,LTC-USD,DOGE-USD,ETH-USD,LTC-USD,DOGE-USD,ETH-USD,LTC-USD,DOGE-USD,ETH-USD,LTC-USD
Datetime,,,,,,,,,,,,,,,,,,
2021-09-01 08:00:00+01:00,0.2796483039855957,3522.682861328125,172.57078552246094,0.2796483039855957,3522.682861328125,172.57078552246094,0.2799761891365051,3530.770751953125,172.7689666748047,0.2793826162815094,3522.60595703125,172.57078552246094,0.2793826162815094,3522.60595703125,172.7689666748047,0.0,0,0
2021-09-01 08:05:00+01:00,0.2808254361152649,3526.043212890625,172.63873291015625,0.2808254361152649,3526.043212890625,172.63873291015625,0.2808254361152649,3526.043212890625,172.78663635253906,0.2798367440700531,3522.569580078125,172.55850219726562,0.2798367440700531,3524.6953125,172.7430419921875,6512640.0,23928832,0
2021-09-01 08:10:00+01:00,0.2807225286960602,3532.00341796875,172.8042449951172,0.2807225286960602,3532.00341796875,172.8042449951172,0.28092196583747864,3532.00341796875,172.8042449951172,0.28064027428627014,3525.9560546875,172.6374969482422,0.28092196583747864,3525.9560546875,172.6374969482422,0.0,20883456,5070848
2021-09-01 08:15:00+01:00,0.27994099259376526,3527.05712890625,172.91073608398438,0.27994099259376526,3527.05712890625,172.91073608398438,0.2808343768119812,3533.751953125,173.0277862548828,0.27994099259376526,3523.197998046875,172.86575317382812,0.2808343768119812,3533.751953125,173.0277862548828,2082176.0,10184704,4554752
2021-09-01 08:20:00+01:00,0.280243456363678,3529.100830078125,173.21083068847656,0.280243456363678,3529.100830078125,173.21083068847656,0.2804202139377594,3530.0390625,173.21083068847656,0.2802204191684723,3529.100830078125,173.00152587890625,0.2802204191684723,3530.0390625,173.00152587890625,1638144.0,28293120,2414080
2021-09-01 08:25:00+01:00,0.2801232635974884,3526.74169921875,172.93751525878906,0.2801232635974884,3526.74169921875,172.93751525878906,0.28100672364234924,3543.1171875,173.47817993164062,0.2801232635974884,3526.74169921875,172.93751525878906,0.28100672364234924,3543.1171875,173.22959899902344,465152.0,0,271616
2021-09-01 08:30:00+01:00,0.27904295921325684,3519.17529296875,172.48826599121094,0.27904295921325684,3519.17529296875,172.48826599121094,0.28001222014427185,3527.346923828125,172.9110565185547,0.27904295921325684,3518.919921875,172.48826599121094,0.28001222014427185,3527.346923828125,172.9110565185547,720768.0,0,0
2021-09-01 08:35:00+01:00,0.27911725640296936,3515.220458984375,172.34278869628906,0.27911725640296936,3515.220458984375,172.34278869628906,0.2795276641845703,3522.144775390625,172.51734924316406,0.27902573347091675,3515.220458984375,172.34278869628906,0.27902573347091675,3519.89794921875,172.36245727539062,0.0,0,0
2021-09-01 08:40:00+01:00,0.27825209498405457,3510.46142578125,172.53611755371094,0.27825209498405457,3510.46142578125,172.53611755371094,0.2789475917816162,3517.910888671875,172.58335876464844,0.27825209498405457,3510.46142578125,172.50611877441406,0.2789475917816162,3514.89501953125,172.50611877441406,0.0,0,2607616
2021-09-01 08:45:00+01:00,0.27826952934265137,3510.5927734375,172.59832763671875,0.27826952934265137,3510.5927734375,172.59832763671875,0.2784433960914612,3512.4794921875,172.8238983154297,0.27826952934265137,3510.5927734375,172.59832763671875,0.2784433960914612,3512.4794921875,172.61961364746094,0.0,0,463104
2021-09-01 08:50:00+01:00,0.2787597179412842,3514.108642578125,172.74620056152344,0.2787597179412842,3514.108642578125,172.74620056152344,0.2787597179412842,3514.108642578125,172.75177001953125,0.27827516198158264,3509.121826171875,172.60195922851562,0.27827516198158264,3509.121826171875,172.60195922851562,0.0,0,540928
2021-09-01 08:55:00+01:00,0.27905958890914917,3518.65673828125,172.75558471679688,0.27905958890914917,3518.65673828125,172.75558471679688,0.2790658175945282,3521.138427734375,172.82167053222656,0.2785641849040985,3516.164306640625,172.50794982910156,0.2785641849040985,3516.164306640625,172.50794982910156,0.0,0,0
2021-09-01 09:00:00+01:00,0.2793349325656891,3517.3681640625,172.9666748046875,0.2793349325656891,3517.3681640625,172.9666748046875,0.2793349325656891,3525.152099609375,172.98214721679688,0.2789587676525116,3517.3681640625,172.9666748046875,0.2789587676525116,3522.294677734375,172.98214721679688,0.0,0,27136
2021-09-01 09:05:00+01:00,0.27984699606895447,3531.605712890625,173.7207794189453,0.27984699606895447,3531.605712890625,173.7207794189453,0.27984699606895447,3531.605712890625,173.7207794189453,0.2786582112312317,3516.955810546875,172.86514282226562,0.2786582112312317,3516.955810546875,172.86514282226562,1121408.0,0,9705216
